w,r,n,R,P,U,C_entropy_topsis,C_equal_topsis,grey_grade
0.215,4.5,4,0.7413876812265994,0.0842314491823132,0.772162889677775,0.8674468384769027,0.7268161907881041,0.8826433194886472
0.22,4.5,4,0.7412558776363958,0.0847113829476935,0.7719333339609218,0.8671288938722123,0.7277273530084611,0.8825538526095835
0.21,4.5,4,0.7415903835020228,0.0838135476870081,0.7725802110738818,0.8666481333694971,0.7246162615428922,0.8802307089563959
0.225,4.5,4,0.7411992197264785,0.0852579567594867,0.7719038729445984,0.8658036091209724,0.7272969355552286,0.8797368924100495
0.205,4.5,4,0.7418596275471375,0.0834529898183991,0.7731726369898488,0.8645014809552075,0.7211545225063292,0.875593574380721
0.2,4.5,4,0.7421909544345011,0.0831450141368211,0.7739272048904721,0.860708979524348,0.7164436436774831,0.8690422399909286
0.195,4.5,4,0.7425798113155138,0.0828847945917701,0.7748306822790932,0.85497418515184,0.710493553169329,0.8609013388042948
0.19,4.5,4,0.7430215596735827,0.0826674488041646,0.7758695986705944,0.8470713502152957,0.7033220298990381,0.8514938572016042
0.185,4.5,4,0.7435114837335828,0.0824880464354791,0.777030278051628,0.8368972554496973,0.6949634945636216,0.8411286041122963
0.18,4.5,4,0.7440447989984393,0.0823416176222575,0.7782988717399099,0.8244909966241619,0.6854753361633127,0.8300913832988606
0.175,4.5,4,0.7446166609071508,0.0822231614668672,0.7796613915561584,0.8100211331071044,0.6749414098364679,0.818639654640059
0.17,4.5,4,0.7452221735878264,0.0821276545668184,0.7811037432305304,0.7937526123567253,0.6634727000262111,0.8070001622424559
0.215,3.65,4,0.7408068506927731,0.1029469060337842,0.7724678461768576,0.7903692733720491,0.6810599195410221,0.7968793177340071
0.21,3.65,4,0.741032742397047,0.1025242278970258,0.7729357958987194,0.7902529800980964,0.6790743688154709,0.7927349629391915
0.22,3.65,4,0.7406439706464444,0.1034331428355578,0.772158476412004,0.7893703924095067,0.6817511055096078,0.7990535095676488
0.225,3.65,4,0.7405483763907139,0.1039874342081973,0.7720205250386363,0.7873112624738721,0.6811004335508499,0.7990203461877685
0.215,3.6,4,0.7399647348598952,0.1044959071263237,0.7723437896772586,0.7853106101304168,0.6837522451987553,0.7947864448114939
0.21,3.6,4,0.7401975075423544,0.1040726117648449,0.7728460163120079,0.7851577758360823,0.681708564564505,0.7901568730776012
0.22,3.6,4,0.7397945096950208,0.1049828817665395,0.77199851488131,0.7843534341180922,0.6845019149873884,0.7974748810013481
0.23,3.65,4,0.7405242261892604,0.1046141848380866,0.7720665038549124,0.78417763242922,0.6790389484591742,0.7965880982112632
0.205,3.6,4,0.7404884439332406,0.1037084298912314,0.7734920552898858,0.7837811752583093,0.6783974223140647,0.7838604807936292
0.225,3.6,4,0.7396911078470785,0.1055380178236953,0.771823038268137,0.7823524660829659,0.6839186547324351,0.7979747827781293
0.23,3.6,4,0.7396586894542587,0.1061657060421807,0.7718298819087264,0.7793083107055615,0.6819425336390138,0.7960820106995092
0.215,3.55,4,0.7391030568035796,0.106122226576022,0.7723851196653555,0.7791345104217827,0.6855486872408266,0.7909062524133111
0.21,3.55,4,0.7393433367153845,0.1056983443741167,0.7729253308271824,0.7788548504308778,0.6834214968479553,0.7857917537827224
0.22,3.55,4,0.738924860000085,0.1066099069471077,0.7720002303166305,0.7782840319534772,0.6863748517661944,0.7941242687456258
0.205,3.55,4,0.7396413144825613,0.1053337088528573,0.7736077212721079,0.7773249433787689,0.6800122289188242,0.7790607403236596
0.225,3.55,4,0.7388130237581083,0.1071658531249908,0.7717835145175825,0.776379891896315,0.6858697223422492,0.7951896463114565
0.165,4.5,4,0.7458563987026036,0.0820500595651737,0.7826117599470802,0.7760090583188879,0.651205474281947,0.7953688701360844
0.23,3.55,4,0.7387717100868881,0.1077944411796307,0.7717475021078581,0.7734371026643292,0.6839827698414549,0.7938865500434567
0.215,3.5,4,0.7382334972065616,0.107829913140311,0.7726196591580801,0.7716697912994841,0.6861805169638826,0.7849309320064277
0.21,3.5,4,0.7384819059135412,0.107405485370392,0.7732015510336622,0.7711508406907962,0.6839325001054876,0.7793497766794188
0.22,3.5,4,0.7380467067772793,0.1083182554035661,0.7721914547966511,0.7710118135665378,0.6871117762443465,0.7886771535590669
0.205,3.5,4,0.7387875462318125,0.1070404356236775,0.773923987400358,0.7693308464904444,0.6803796697929763,0.7722166419076464
0.225,3.5,4,0.7379258137087429,0.1088749645780089,0.7719297925421081,0.7692622887317141,0.6867044166181807,0.7903257408837543
0.23,3.5,4,0.7378749818678547,0.1095044013391859,0.771847207487724,0.7664499467237823,0.6849174280027936,0.7896506599827064
0.22,4.5,2,0.7599178959113774,0.0760319017007909,0.7792933813915763,0.7633027770092873,0.5671005360801366,0.8504480210199887
0.215,3.45,4,0.7373676958574261,0.1096229248652316,0.7730745596766155,0.7626619090627381,0.6853556650118774,0.7766247077001674
0.215,4.5,2,0.7597880581803386,0.0761546973705232,0.7794424920802372,0.762636977452215,0.5672034528225682,0.848276763235696
0.22,3.45,4,0.7371716957137896,0.1101118734860781,0.7725993590029029,0.762306356978024,0.6864345402358902,0.7808786164726623
