w,r,n,R,P,U
0.1,4.5,4.0,0.754445297487772,0.0804065081420504,0.8018195360631608
0.105,4.5,4.0,0.7538902392080418,0.08070056747845639,0.8007196938571993
0.11,4.5,4.0,0.7532998972283061,0.08094962375335056,0.7995097473037718
0.115,4.5,4.0,0.7526789510698689,0.08115813423143706,0.7982018419455469
0.12,4.5,4.0,0.7520321524363115,0.08133064870709678,0.7968084617508577
0.125,4.5,4.0,0.7513643168506239,0.08147180200126175,0.79534240124285
0.13,4.5,4.0,0.7506803151652126,0.08158630629338368,0.7938167367363195
0.135,4.5,4.0,0.7499850649437273,0.0816789432993427,0.7922447967347999
0.14,4.5,4.0,0.7492835217372354,0.08175455631246997,0.7906401315775494
0.145,4.5,4.0,0.7485806702746922,0.08181804211722532,0.7890164824022486
0.15,4.5,4.0,0.7478815155762196,0.0818743427922007,0.7873877494994195
0.155,4.5,4.0,0.7471910740169418,0.08192843742052736,0.7857679601401979
0.16,4.5,4.0,0.7465143643488743,0.08198533371260755,0.7841712359547353
0.165,4.5,4.0,0.7458563987026036,0.08205005956517376,0.7826117599470802
0.17,3.55,10.0,0.7323791603427413,0.11993877785229892,0.8102348070703715
0.17,3.6,10.0,0.7334785722072457,0.11834701907439021,0.8101555593395545
0.17,4.5,4.0,0.7452221735878264,0.08212765456681848,0.7811037432305304
0.175,3.5,10.0,0.7304320874263103,0.12266328023244322,0.8099387987193565
0.175,3.55,10.0,0.7314665670276798,0.12098852593724556,0.8096163802073686
0.175,3.6,10.0,0.7325456694373156,0.11939508216071666,0.8095536562840993
0.175,3.65,10.0,0.7336580810241675,0.11787898045869513,0.8097238825885238
0.175,4.5,4.0,0.7446166609071508,0.08222316146686726,0.7796613915561584
0.175,4.5,6.0,0.7403948407976314,0.09042769790830946,0.7977434608317887
0.18,3.45,10.0,0.7286231508934811,0.12554422409111565,0.8099045998068719
0.18,3.5,10.0,0.729583209048701,0.12378249789738413,0.8093218159666358
0.18,3.55,10.0,0.7305984571943049,0.1221059155421319,0.8090211115014622
0.18,3.6,10.0,0.7316577168688854,0.12051060593754025,0.8089765341824691
0.18,3.65,10.0,0.7327496678208391,0.11899260638665514,0.8091612838328172
0.18,3.7,10.0,0.7338628849541728,0.11754786960505129,0.8095478278185844
0.18,4.5,4.0,0.7440447989984393,0.08234161762225754,0.7782988717399099
0.18,4.5,6.0,0.7395363664808041,0.09095206334834147,0.7964541923632144
0.185,3.35,10.0,0.7261651481489442,0.13053548507537854,0.8113427592231538
0.185,3.4,10.0,0.7269650578041802,0.12859042830367046,0.810155516336071
0.185,3.45,10.0,0.7278413602081139,0.1267378944678168,0.8092959231361664
0.185,3.5,10.0,0.7287832586262738,0.12497422296250446,0.808739975729596
0.185,3.55,10.0,0.7297797435843791,0.12329564789552211,0.8084626107472415
0.185,3.6,10.0,0.7308196287282022,0.1216983048358529,0.8084378138671953
0.185,3.65,10.0,0.7318915873219791,0.12017823770337349,0.8086387321626698
0.185,3.7,10.0,0.7329841892430071,0.11873140578268472,0.8090377897694645
0.185,4.5,4.0,0.7435114837335828,0.08248804643547912,0.777030278051628
0.185,4.5,6.0,0.7387229716028226,0.0915188799101546,0.7952494268764502
0.19,3.3,10.0,0.7247732355236481,0.13385344001007812,0.8122132456255254
0.19,3.35,10.0,0.7254702661042627,0.1318104217103423,0.8107140193207317
0.19,3.4,10.0,0.7262536653661117,0.12986340040525302,0.8095620201686285
0.19,3.45,10.0,0.7271128728912548,0.12800883494656676,0.8087343221729155
0.19,3.5,10.0,0.7280370816202191,0.12624307229486467,0.8082068443574599
0.19,3.55,10.0,0.7290152730230147,0.1245623541072588,0.8079544552095264
0.19,3.6,10.0,0.7300362530214596,0.12296282347363385,0.8079510814194236
0.19,3.65,10.0,0.7310886885435928,0.12144053179580136,0.8081698204103497
0.19,3.7,10.0,0.7321611445766384,0.11999144578777197,0.8085830561608632
0.19,3.75,10.0,0.7332421215901942,0.1186114545942342,0.8091625777935822
0.19,4.5,4.0,0.7430215596735827,0.0826674488041646,0.7758695986705944
0.19,4.5,6.0,0.7379595172494544,0.09213310393370247,0.7941431988325436
0.195,3.25,10.0,0.7235654633077266,0.13735675752581486,0.8134263886526623
0.195,3.3,10.0,0.7241509445146532,0.13521241087359553,0.8116016098578456
0.195,3.35,10.0,0.7248325121000333,0.13316739313100945,0.8101425497135605
0.195,3.4,10.0,0.7255998741462499,0.13121828987309378,0.809027445686521
0.195,3.45,10.0,0.7264424589331246,0.12936156837014992,0.8082332890592655
0.195,3.5,10.0,0.7273494492900912,0.12759358399829115,0.8077359248779471
0.195,3.55,10.0,0.7283098178337882,0.12591058681559922,0.80751015661951
0.195,3.6,10.0,0.7293123629468757,0.1243087282881224,0.8075298551270185
0.195,3.65,10.0,0.730345745394258,0.12278406815135381,0.8077680713048433
0.195,3.7,10.0,0.7313985254245338,0.1213325814037751,0.8081971520749041
0.195,3.75,10.0,0.7324592002462534,0.11995016540665501,0.8087888590768844
