w,r,n,R,P,U,worst_regret_reasonable,worst_regret_fullsimplex,dist_utopia,freq_optimal
0.1,4.5,4,0.754445297487772,0.0804065081420504,0.8018195360631608,0.45566393772190206,0.8513874015131974,1.0477945893521996,0.0
0.105,4.5,4,0.7538902392080418,0.0807005674784563,0.8007196938571993,0.4388768222801771,0.8375043536816724,1.0238345896094898,0.0
0.11,4.5,4,0.7532998972283061,0.0809496237533505,0.7995097473037718,0.42034730341333726,0.8227387943865117,0.9979861158667277,0.0
0.115,4.5,4,0.7526789510698689,0.081158134231437,0.7982018419455469,0.40026976153853633,0.8072077672255885,0.9705384156740362,0.0
0.12,4.5,4,0.7520321524363115,0.0813306487070967,0.7968084617508577,0.378843699533166,0.7910301212108188,0.9417922446911052,0.0
0.125,4.5,4,0.7513643168506239,0.0814718020012617,0.79534240124285,0.35627331142462343,0.7743263015971348,0.9120584233691187,0.0
0.13,4.5,4,0.7506803151652126,0.0815863062933836,0.7938167367363195,0.33276703797874263,0.7572181375318703,0.8816561239274588,0.0
0.135,4.5,4,0.7499850649437273,0.0816789432993427,0.7922447967347999,0.3085371099266061,0.7398286264980921,0.850910764937246,0.0
0.14,4.5,4,0.7492835217372354,0.0817545563124699,0.7906401315775494,0.2837990801861853,0.7222817161153819,0.8201513720824667,0.0
0.145,4.5,4,0.7485806702746922,0.0818180421172253,0.7890164824022486,0.2655303540476557,0.7047020837969752,0.7897072489009125,0.0
0.15,4.5,4,0.7478815155762196,0.0818743427922007,0.7873877494994195,0.24847503845733843,0.6872149144762189,0.7599038008474579,0.0
0.155,4.5,4,0.7471910740169418,0.0819284374205273,0.7857679601401979,0.2315926282670805,0.6699456770963448,0.731057383402119,0.0
0.16,4.5,4,0.7465143643488743,0.0819853337126075,0.7841712359547353,0.21502381614703564,0.6530199000510892,0.7034691154167059,0.0
0.165,4.5,4,0.7458563987026036,0.0820500595651737,0.7826117599470802,0.1989094196022576,0.6365629461198437,0.6774177320296544,0.0
0.17,3.55,10,0.7323791603427413,0.1199387778522989,0.8102348070703715,0.5590841560661154,0.7786471310562407,0.9874459870961652,0.0
0.17,3.6,10,0.7334785722072457,0.1183470190743902,0.8101555593395545,0.5593353244042146,0.7770438486673207,0.9848610676726567,0.0
0.17,4.5,4,0.7452221735878264,0.0821276545668184,0.7811037432305304,0.18339010391051047,0.6206997873742697,0.6531517578748912,0.0
0.175,3.5,10,0.7304320874263103,0.1226632802324432,0.8099387987193565,0.5524546398698758,0.7726585056247883,0.9872184386695664,0.0
0.175,3.55,10,0.7314665670276798,0.1209885259372455,0.8096163802073686,0.5489411269803127,0.7661355690460044,0.977777736386622,0.0
0.175,3.6,10,0.7325456694373156,0.1193950821607166,0.8095536562840993,0.549335103828347,0.7648665843002596,0.9743897256817783,0.0
0.175,3.65,10,0.7336580810241675,0.1178789804586951,0.8097238825885238,0.5532157403412509,0.768310478948107,0.976585690823629,0.0
0.175,4.5,4,0.7446166609071508,0.0822231614668672,0.7796613915561584,0.16860610454571556,0.6055547804166236,0.6308815571717187,0.0
0.175,4.5,6,0.7403948407976314,0.0904276979083094,0.7977434608317887,0.3626140469126403,0.5259313090163201,0.7461912424434852,0.0
0.18,3.45,10,0.7286231508934811,0.1255442240911156,0.8099045998068719,0.5502802932708852,0.7719666181279295,0.9964432263603837,0.0
0.18,3.5,10,0.729583209048701,0.1237824978973841,0.8093218159666358,0.542719934409393,0.7601761598023131,0.9800658622417437,0.0
0.18,3.55,10,0.7305984571943049,0.1221059155421319,0.8090211115014622,0.5394246726986444,0.7540925260084872,0.9699970142017292,0.0
0.18,3.6,10,0.7316577168688854,0.1205106059375402,0.8089765341824691,0.5399853036292237,0.753190670147757,0.9658543059180497,0.0
0.18,3.65,10,0.7327496678208391,0.1189926063866551,0.8091612838328172,0.5439802138030994,0.7569283905557538,0.9671916260913717,0.0
0.18,3.7,10,0.7338628849541728,0.1175478696050512,0.8095478278185844,0.5509771311167107,0.7647486670297193,0.9734951116052613,0.0
0.18,4.5,4,0.7440447989984393,0.0823416176222575,0.7782988717399099,0.1546969497162617,0.591251442331968,0.61077213041265,0.0
0.18,4.5,6,0.7395363664808041,0.0909520633483414,0.7964541923632144,0.34244920369609355,0.49984776808783793,0.7150285032084828,0.0
0.185,3.35,10,0.7261651481489442,0.1305354850753785,0.8113427592231538,0.5698187434221941,0.8010624123016218,1.0450667834690608,0.0
0.185,3.4,10,0.7269650578041802,0.1285904283036704,0.810155516336071,0.552949539711432,0.7770429786521527,1.0150599914584282,0.0
0.185,3.45,10,0.7278413602081139,0.1267378944678168,0.8092959231361664,0.5410713851972527,0.7596523149090542,0.9917977883906459,0.0
0.185,3.5,10,0.7287832586262738,0.1249742229625044,0.808739975729596,0.5338038111763148,0.7484047917695196,0.975003565446034,0.0
0.185,3.55,10,0.7297797435843791,0.1232956478955221,0.8084626107472415,0.5307507198062253,0.7427933453984065,0.9643659343339815,0.0
0.185,3.6,10,0.7308196287282022,0.1216983048358529,0.8084378138671953,0.5315020335511812,0.7422916729761383,0.959522978217102,0.0
0.185,3.65,10,0.7318915873219791,0.1201782377033734,0.8086387321626698,0.5356354000824678,0.7463565056398005,0.9600506330051457,0.0
