方案,指标,标称,mean,std,CV,P5,P95,SNR,beta,失效概率
"Q3综合最优(0.215,4.5,4)",R,0.74139,0.74847,0.02569,0.0343,0.70726,0.79451,2.511,2.611,0.006
"Q3综合最优(0.215,4.5,4)",P,0.08423,0.08334,0.00643,0.0771,0.0728,0.09396,21.557,1.449,0.0799
"Q3综合最优(0.215,4.5,4)",U,0.77216,0.77544,0.00384,0.005,0.77122,0.78374,2.209,19.246,0.0
"Q4鲁棒(0.225,4.5,4)",R,0.7412,0.74842,0.02575,0.0344,0.70709,0.79477,2.512,2.598,0.0063
"Q4鲁棒(0.225,4.5,4)",P,0.08526,0.08409,0.00677,0.0806,0.07272,0.09516,21.477,1.431,0.0811
"Q4鲁棒(0.225,4.5,4)",U,0.7719,0.7753,0.0039,0.005,0.77111,0.78371,2.211,18.939,0.0
"低R(0.2,3,10)",R,0.72193,0.72542,0.02396,0.033,0.68638,0.76817,2.783,2.868,0.0
"低R(0.2,3,10)",P,0.15113,0.14867,0.00986,0.0663,0.13262,0.1653,16.536,1.783,0.0421
"低R(0.2,3,10)",U,0.82784,0.82479,0.00372,0.0045,0.81787,0.82946,1.673,23.066,0.0
"低P(0.2,4.5,2)",R,0.75977,0.7702,0.02886,0.0375,0.72445,0.81896,2.262,2.271,0.0179
"低P(0.2,4.5,2)",P,0.07679,0.07842,0.00525,0.0669,0.06989,0.08743,22.092,1.152,0.133
"低P(0.2,4.5,2)",U,0.781,0.79438,0.02075,0.0261,0.77966,0.8339,1.996,3.118,0.0
